timestamp,container_name,timestamp,kepler_container_cpu_cycles,layer,unit,treatment
2026-01-20 15:26:50.940999985+00:00,data-preprocess,1768922810.941,120992.74545454545,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-preprocess,1768922840.941,131545.83636363636,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,data-preprocess,1768922870.941,126528.12727272727,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,data-preprocess,1768922900.941,131199.76363636364,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,data-quality,1768922810.941,116905.94545454545,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-quality,1768922840.941,634558.8545454545,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,data-quality,1768922870.941,1072458.7454545454,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,data-quality,1768922900.941,681520.2181818181,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-address,1768922810.941,116082.59999999999,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-address,1768922840.941,292987.5636363636,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-address,1768922870.941,417638.65454545454,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-address,1768922900.941,260657.14545454545,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-birthday,1768922810.941,117965.10909090909,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-birthday,1768922840.941,865960.9090909091,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-birthday,1768922870.941,865661.5636363636,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-birthday,1768922900.941,136863.9818181818,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-id-code,1768922810.941,118850.92727272726,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-id-code,1768922840.941,3841246.9818181815,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-id-code,1768922870.941,7458752.654545454,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-id-code,1768922900.941,3749166.527272727,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-name,1768922810.941,117666.18181818181,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-name,1768922840.941,1301707.7454545454,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-name,1768922870.941,1297365.1636363636,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-name,1768922900.941,127323.52727272727,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,init,1768922810.941,0.0,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,init,1768922840.941,0.0,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,init,1768922870.941,0.0,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,init,1768922900.941,0.0,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,load-data,1768922810.941,120584.41818181818,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,load-data,1768922840.941,799754.4909090908,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,load-data,1768922870.941,793717.3272727273,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,load-data,1768922900.941,130462.0,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,main,1768922810.941,0.0,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,main,1768922840.941,0.0,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,main,1768922870.941,1963312.4408124997,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,main,1768922900.941,1358437.3241291665,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,privacy-tracking,1768922810.941,118105.85454545454,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,privacy-tracking,1768922840.941,73469010.6,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,privacy-tracking,1768922870.941,372152697.10909086,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,privacy-tracking,1768922900.941,212289.1818181818,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,synthetic-generator,1768922810.941,117178.67272727271,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,synthetic-generator,1768922840.941,36329263.8,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,synthetic-generator,1768922870.941,36352868.90909091,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,synthetic-generator,1768922900.941,181064.45454545453,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:26:50.940999985+00:00,wait,1768922810.941,0.0,pod,cpu_cycles_per_second,NoTreatment
2026-01-20 15:27:20.940999985+00:00,wait,1768922840.941,1098427.3523499998,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:27:50.940999985+00:00,wait,1768922870.941,4317424.211849999,pod,cpu_cycles_per_second,Treatment
2026-01-20 15:28:20.940999985+00:00,wait,1768922900.941,2608121.2841849998,pod,cpu_cycles_per_second,Treatment
